fact_orders_logistics.order_id,fact_orders_logistics.customer_id,fact_orders_logistics.product_id,fact_orders_logistics.quantity,fact_orders_logistics.total_price,fact_orders_logistics.order_date,fact_orders_logistics.shipping_cost,fact_orders_logistics.logistics_id,fact_orders_logistics.estimated_delivery_date,fact_orders_logistics.actual_delivery_date,fact_orders_logistics.warehouse_id,fact_orders_logistics.delivery_time_delta_days,fact_orders_logistics.is_late_delivery
23,19,12,7,301.77,2025-06-24,9.45,23,2025-06-29,2025-06-30,5,1,1
39,14,19,8,1899.60,2025-09-04,7.47,39,2025-09-07,2025-09-07,1,0,0
49,11,20,3,963.72,2025-06-16,11.88,49,2025-06-21,2025-06-22,3,1,1
7,15,14,6,1328.34,2025-06-07,17.53,7,2025-06-11,2025-06-12,1,1,1
84,1,15,4,1651.92,2025-07-18,49.94,84,2025-07-24,2025-07-26,5,2,1
87,12,12,5,215.55,2025-08-22,41.12,87,2025-08-27,2025-08-29,5,2,1
51,15,15,1,412.98,2025-05-14,35.47,51,2025-05-17,2025-05-20,5,3,1
69,4,15,10,4129.80,2025-06-22,44.12,69,2025-06-29,NULL,5,NULL,0
97,10,12,10,431.10,2025-09-05,41.27,97,2025-09-12,2025-09-15,5,3,1
63,11,3,7,2396.94,2025-08-19,30.34,63,2025-08-26,2025-08-29,5,3,1
10,29,7,7,1325.52,2025-07-03,47.80,10,2025-07-06,2025-07-09,2,3,1
77,7,13,3,59.28,2025-09-01,7.72,77,2025-09-06,2025-09-08,2,2,1
50,27,5,7,2269.54,2025-09-03,47.65,50,2025-09-09,2025-09-10,4,1,1
45,4,3,3,1027.26,2025-07-30,23.75,45,2025-08-02,2025-08-02,5,0,0
38,17,8,4,993.52,2025-08-22,23.52,38,2025-08-27,2025-08-29,1,2,1
82,27,9,1,439.76,2025-08-01,24.20,82,2025-08-03,2025-08-03,3,0,0
80,16,14,8,1771.12,2025-07-29,20.06,80,2025-08-03,2025-08-05,1,2,1
25,6,18,6,2811.60,2025-06-27,10.23,25,2025-07-03,2025-07-04,4,1,1
73,19,3,1,342.42,2025-07-08,23.59,73,2025-07-10,2025-07-10,5,0,0
24,1,4,9,108.63,2025-09-04,18.59,24,NULL,2025-09-11,1,NULL,0
70,12,12,10,431.10,2025-05-16,32.40,70,NULL,2025-05-22,5,NULL,0
62,25,4,1,12.07,2025-06-09,26.64,62,NULL,2025-06-16,1,NULL,0
95,6,5,8,2593.76,2025-07-29,13.93,95,2025-08-01,2025-08-03,4,2,1
29,10,4,6,72.42,2025-07-01,11.77,29,2025-07-05,2025-07-05,1,0,0
21,27,3,10,3424.20,2025-08-26,39.87,21,2025-09-01,2025-09-04,5,3,1
98,20,4,1,12.07,2025-07-18,34.57,98,2025-07-24,2025-07-24,1,0,0
32,26,16,4,727.96,2025-09-12,15.52,32,2025-09-18,2025-09-21,1,3,1
60,24,12,7,301.77,2025-06-24,31.05,60,2025-07-01,2025-07-03,5,2,1
90,30,2,10,4322.40,2025-05-21,49.88,90,2025-05-26,2025-05-26,1,0,0
75,11,8,2,496.76,2025-09-24,43.35,75,2025-09-26,2025-09-29,1,3,1
56,19,4,1,12.07,2025-05-08,47.72,56,2025-05-15,2025-05-18,1,3,1
58,6,4,2,24.14,2025-07-07,29.72,58,2025-07-09,2025-07-12,1,3,1
11,10,12,3,129.33,2025-08-01,6.76,11,2025-08-03,NULL,5,NULL,0
33,6,12,3,129.33,2025-09-13,17.12,33,2025-09-18,2025-09-18,5,0,0
83,4,1,4,769.20,2025-07-28,32.52,83,2025-08-04,2025-08-04,1,0,0
68,28,10,6,132.00,2025-05-01,28.42,68,2025-05-03,2025-05-05,5,2,1
71,13,10,10,220.00,2025-04-09,33.00,71,2025-04-14,2025-04-14,5,0,0
14,2,17,9,829.71,2025-06-14,10.92,14,2025-06-21,2025-06-21,4,0,0
42,26,2,4,1728.96,2025-04-13,36.18,42,2025-04-19,2025-04-19,1,0,0
2,13,12,10,431.10,2025-08-06,39.99,2,2025-08-09,2025-08-12,5,3,1
79,1,15,9,3716.82,2025-05-28,37.89,79,2025-05-31,2025-06-02,5,2,1
30,11,10,1,22.00,2025-05-25,9.50,30,2025-05-30,NULL,5,NULL,0
99,7,8,5,1241.90,2025-07-31,41.68,99,2025-08-06,NULL,1,NULL,0
66,12,10,2,44.00,2025-09-02,47.58,66,2025-09-05,2025-09-07,5,2,1
46,22,4,1,12.07,2025-03-31,12.55,46,2025-04-06,2025-04-08,1,2,1
67,1,10,9,198.00,2025-06-07,31.91,67,NULL,2025-06-10,5,NULL,0
18,25,13,4,79.04,2025-06-13,27.89,18,2025-06-20,2025-06-20,2,0,0
74,25,15,3,1238.94,2025-07-31,26.13,74,2025-08-05,NULL,5,NULL,0
36,7,2,8,3457.92,2025-07-11,19.27,36,2025-07-15,2025-07-18,1,3,1
89,7,6,8,1039.04,2025-06-22,5.96,89,2025-06-29,2025-07-02,1,3,1
